#kgID	geneSymbol
uc007afh.1	Lypla1
uc007afg.1	Lypla1
uc007afi.2	Tcea1
uc011wht.1	Tcea1
uc011whu.1	Tcea1
uc057aty.1	AK048564
uc007afn.2	Atp6v1h
uc057atz.1	Atp6v1h
uc007afm.2	Atp6v1h
uc007afo.2	Oprk1
uc057aua.1	Oprk1
uc007afq.2	Oprk1
uc007afr.2	Rb1cc1
uc011whx.1	Rb1cc1
uc007afs.1	Rb1cc1
uc007aft.2	Rb1cc1
uc007afu.2	Rb1cc1
uc007afv.2	Alkal1
uc007afy.1	St18
uc007afw.1	St18
uc007afz.1	St18
uc007afx.1	St18
uc007aga.1	St18
uc029qmq.1	AB335791
uc007agb.1	Pcmtd1
uc007agc.1	Pcmtd1
uc007agd.1	Pcmtd1
uc011why.1	Pcmtd1
uc007agk.2	Rrs1
uc007agl.2	Adhfe1
uc007agm.2	Adhfe1
uc007agp.1	3110035E14Rik
uc029qmu.1	1700034P13Rik
uc029qmv.1	1700034P13Rik
uc007agu.2	Sgk3
uc007agv.2	Sgk3
uc007agx.2	Sgk3
uc011wid.2	Sgk3
uc007agw.2	Sgk3
uc007agy.2	Sgk3
uc056yce.1	AK080469
uc011wie.1	Mcmdc2
uc007agz.1	Mcmdc2
uc007ahi.1	Cspp1
uc011wih.1	Cspp1
uc011wig.1	Cspp1
uc007ahh.1	Cspp1
uc007ahj.1	Cspp1
uc007ahk.1	Cspp1
uc007ahl.1	Cspp1
uc007ahg.1	Cspp1
uc007ahs.2	Prex2
uc007ahv.2	Prex2
uc007aht.1	Prex2
uc007ahu.1	Prex2
uc007ahx.2	A830018L16Rik
uc011wij.1	A830018L16Rik
uc057aub.1	A830018L16Rik
uc007ahy.2	A830018L16Rik
uc007ahw.2	A830018L16Rik
uc011wik.1	A830018L16Rik
uc011wii.1	A830018L16Rik
uc007ahz.1	A830018L16Rik
uc033fic.1	Mir6341
uc029qmx.1	Gm17644
uc007aia.2	Sulf1
uc007aid.1	Sulf1
uc007aib.2	Sulf1
uc007aic.1	Sulf1
uc007aie.1	Sulf1
uc007aiv.1	Xkr9
uc007ajb.1	AK080352
uc007aje.1	Kcnb2
uc007ajh.2	Terf1
uc007aji.2	Terf1
uc007ajf.2	Terf1
uc007ajg.2	Terf1
uc007ajm.1	Rdh10
uc029qna.1	D030040B21Rik
uc007ajx.1	Tmem70
uc007ajy.1	Tmem70
uc007ajz.2	Ly96
uc011wim.1	Ly96
uc007akc.3	Gdap1
uc007akb.2	Gdap1
uc007akd.1	AK135932
uc007ake.2	Pi15
uc007akh.1	Crispld1
uc007akg.1	Crispld1
uc007akp.2	Tfap2d
uc007akq.2	Tfap2b
uc007akr.2	Tfap2b
uc007akt.2	Tfap2b
uc007aku.2	Tfap2b
uc007aks.1	Tfap2b
uc029qnc.1	AB353040
uc029qnd.1	4930486I03Rik
uc029qne.1	Lincmd1
uc011win.1	Mir133b
uc007aky.1	Il17a
